,0
C0010001,"[(3, 'C0010011')]"
C0010002,"[(1, 'C0010005')]"
C0010005,"[(1, 'C0010014')]"
C0010011,"[(6, 'C0010017'), (10, 'C0010017')]"
C0010003,"[(1, 'C0010009'), (7, 'C0010009'), (8, 'C0010009')]"
C0010004,"[(1, 'C0010009')]"
C0010009,"[(7, 'C0010019')]"
C0010006,"[(3, 'C0010018')]"
C0010010,"[(7, 'C0010019'), (8, 'C0010019')]"
C0010014,"[(1, 'C0010012')]"
C0010008,"[(1, 'C0010007')]"
C0010018,"[(6, 'C0010019')]"
C0010007,"[(1, 'C0010008')]"
C0010019,"[(6, 'C0010018')]"
C0010012,"[(1, 'C0010014')]"
C0010015,"[(3, 'C0010013')]"
C0010017,"[(6, 'C0010016'), (10, 'C0010016')]"
C0010013,"[(3, 'C0010015')]"
C0010016,"[(6, 'C0010017'), (10, 'C0010017')]"
